id,category,rule,applied,evidence,validation
BEL-001,IDENTIDAD,La marca Belentani debe ser reconocible antes de leer el nombre.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-002,IDENTIDAD,"El sello PB debe aparecer como marca de sistema, nunca como ornamento aislado.",sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-003,IDENTIDAD,La relación entre BELENTANI y .EU debe conservar jerarquía propia.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-004,IDENTIDAD,"La identidad debe funcionar en negro, claro y escala reducida.",sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-005,IDENTIDAD,Toda marca visual debe poder defenderse con una intención profesional.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-006,IDENTIDAD,"La estética debe sentirse técnica, fría, humana y precisa.",sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-007,IDENTIDAD,La marca debe evitar parecer plantilla de portfolio.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-008,IDENTIDAD,"El lenguaje debe poder repetirse en web, HTML, GitHub y dossier.",sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-009,IDENTIDAD,La identidad no debe depender de una única imagen.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-010,IDENTIDAD,Cada nuevo módulo debe responder si refuerza o diluye Belentani.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-011,GESTALT,Figura y fondo deben separar señal y silencio.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-012,GESTALT,La proximidad debe agrupar datos que pertenecen a la misma operación.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-013,GESTALT,La similitud debe indicar estados equivalentes.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-014,GESTALT,La continuidad debe llevar la mirada al siguiente nodo.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-015,GESTALT,El cierre debe permitir entender una idea aunque parte permanezca oculta.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-016,GESTALT,El destino común debe usar movimiento compartido para indicar relación.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
BEL-017,GESTALT,La región común debe contener estados sin crear ruido.,sí,"Sistema React, escenas Gestalt, CSS, HTML, metadata o checks según categoría",build / visual / structural / manual
