id,domain,scope,lens,impact,criterion,status
BR-01-01,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-02,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-03,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-04,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-05,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-06,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-07,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-08,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-09,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 9: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-01-10,Brand signal,"identidad, marca y reconocimiento",intent,estratégico,"En identidad, marca y reconocimiento, comprobar que existe una intención verificable y no solo una decisión ornamental. Variante 10: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-01,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 1: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-02,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 2: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-03,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 3: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-04,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 4: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-05,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 5: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-06,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 6: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-07,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 7: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
BR-02-08,Brand signal,"identidad, marca y reconocimiento",audience,alto,"En identidad, marca y reconocimiento, comprobar que la decisión sirve al público objetivo y al contexto de uso. Variante 8: el caso debe tener evidencia visible y no una promesa abstracta.",pendiente de auditoría
