id,domain,criterion,status,evidence,priority
OPEN-01,Apertura y preloader,La intención se entiende sin explicación externa.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-02,Apertura y preloader,La jerarquía dirige la mirada al siguiente paso.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-03,Apertura y preloader,La relación entre forma y función es visible.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-04,Apertura y preloader,El elemento mantiene continuidad con el sistema global.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-05,Apertura y preloader,La decisión evita ruido visual innecesario.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-06,Apertura y preloader,El contraste permite lectura y orientación.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-07,Apertura y preloader,La transición tiene un motivo narrativo claro.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-08,Apertura y preloader,El usuario recibe una respuesta reconocible.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-09,Apertura y preloader,La interacción puede operarse con teclado.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-10,Apertura y preloader,El estado activo queda comunicado.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-11,Apertura y preloader,La experiencia funciona sin depender de una imagen concreta.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-12,Apertura y preloader,La decisión conserva la voz profesional del sitio.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-13,Apertura y preloader,El contenido aporta evidencia y no solo atmósfera.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-14,Apertura y preloader,La solución es coherente en escritorio y móvil.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-15,Apertura y preloader,La carga o respuesta no introduce fricción injustificada.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
OPEN-16,Apertura y preloader,La decisión puede validarse mediante una prueba observable.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-17,Apertura y preloader,La solución es suficientemente distintiva para ser recordada.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-18,Apertura y preloader,El usuario puede recuperarse de un error o cierre.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-19,Apertura y preloader,La decisión respeta el principio de revelación progresiva.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
OPEN-20,Apertura y preloader,El conjunto forma una Gestalt completa y legible.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
HERO-01,Hero y primera impresión,La intención se entiende sin explicación externa.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
HERO-02,Hero y primera impresión,La jerarquía dirige la mirada al siguiente paso.,revisado,Auditoría de recorrido y consistencia Gestalt,P1
HERO-03,Hero y primera impresión,La relación entre forma y función es visible.,revisado,Auditoría de recorrido y consistencia Gestalt,P2
